,VenueId,DayOf,Start,End
0,57e6fea3498e425ed4b9ccd6,True,1000,2300
1,55461bf6498eac118325e62e,True,1200,+0000
2,5473d783498ec0bbca9021d6,True,1200,+0000
3,545d54ab498ea427d9af9d2d,True,1200,+0000
4,4f48087ee4b01863529f8568,True,1200,+0000
5,4fea02ede5e8dfeeb65b5000,True,1100,2300
6,4b6b50caf964a52056002ce3,True,1000,1800
7,4b4f3d05f964a52060fe26e3,True,0500,+0100
8,54e8dc93498e2565b4a9f267,True,1100,+0000
9,51c4888e498ea0454b65c7cd,True,1200,+0200
10,52c755d911d2faa81232fbc7,True,1100,2300
11,55156c74498ece57a4ab8508,True,1200,+0200
12,4f349e4ee4b0debe1e46886a,True,0900,+0000
13,4b7c72d2f964a5200c942fe3,True,1100,1400
14,520adbb8bce685c2b3858b2a,True,0700,2100
15,562be423498e2c64faa4d476,True,0700,2100
16,548a3ae3498e96c3ac6dbf16,True,1100,+0000
17,59d6f05d4928143ec569d3a5,True,0800,1600
18,4b460755f964a5207d1426e3,True,0700,2000
19,589f74662c55ec7cf24bb656,True,0700,2000
20,4ba8cd26f964a52007f039e3,True,0700,2000
21,4bb77b73b35776b046a2c701,True,0800,1800
22,4b47f539f964a5201b4526e3,True,0800,1800
23,5bf0a9dfe65d0c002c514419,True,0800,1800
24,537f99ee498e2e6e70de2c35,True,1100,2000
25,4c93cb6572dd224bb0f59391,True,1600,+0230
26,4b92ff3af964a520842d34e3,True,1700,2300
27,4d966ca4a2c6548177f1bf53,True,1700,2300
28,4b7d68a2f964a520cdbc2fe3,False,,
29,57f8fbf4498ecadc3af56807,False,,
30,4c6c144a6af58cfa33c08517,True,1000,+0230
31,4ce30b2b7e9b721e823334f1,True,1700,+0200
32,59fa5ce86f0aa23a208a487f,True,1700,+0200
33,50676887e4b0bb2af9c18911,True,0800,1700
34,53b74740498e8cb5722a80a2,True,1100,+0000
35,50410e82e4b05127f7861cf3,True,1100,+0000
36,591f54428c35dc7af6b90438,True,1100,+0000
37,4b8314a0f964a52064f630e3,True,1100,+0000
38,51e5e417498efc97bd300341,True,1100,+0000
39,5495c1fd498eeb266e9442d0,True,1100,+0000
40,4b0220f4f964a520eb4722e3,True,1700,+0230
41,51fd186b498ecee282bedc11,True,1200,+0130
42,4b4fa9d2f964a520c80f27e3,True,0800,2200
43,594b106b4f0e58337b597cd4,True,0800,2200
44,4b7cea70f964a52024a92fe3,True,0800,2200
45,550df681498e069e34c6a140,True,0800,2200
46,55408ab6498ed666a6c0e667,True,0800,2200
47,4e0eabc4d22d8582bdc1fa22,True,0800,2200
48,4b3d6548f964a520939325e3,True,0500,+0100
49,4b67b350f964a5204e5b2be3,True,0500,+0100
50,4b7dbb16f964a5201ad12fe3,True,0500,+0100
51,4b480a1cf964a520d34626e3,True,0500,+0100
52,526171ac11d2bd1db179ae60,True,0900,2300
53,4b7d3aabf964a520d0b32fe3,True,0500,2100
54,4b91b4f1f964a52095d133e3,True,0500,2100
55,4befe8a0a09076b0719f29d4,True,0800,2100
56,58f9af53237dee3cd80dba4e,True,0600,2100
57,4db098dccda14b702a34a91d,True,0600,2100
58,4cf2008b1d18a143699857ec,True,2000,+0230
59,4b8f362af964a520f14d33e3,True,0500,2100
60,4b9e9d46f964a520f4f336e3,True,0500,+0100
61,4c59654cb8b3c9b6ecfc88b6,False,,
62,5b474778b1ec13002c762f99,False,,
63,4b474878f964a520192e26e3,True,0800,1600
64,4be96bb6c5220f47c7cbaaca,True,0100,+0100
65,4b4f5355f964a520680127e3,True,1100,2200
66,4b525090f964a520b57627e3,True,1800,+0230
67,541cf4a6498e78ca0871851c,True,1800,+0230
68,56705900498e2a5eecf26ca4,True,0800,1700
69,51a0f7c5498e1831035afb60,True,0800,1700
70,5b76302cbe70780039cf7049,True,0800,1700
71,4c94f855533aa093c363c445,True,0800,1700
72,4b45d7b5f964a520141126e3,True,1600,+0230
73,52470ce911d2a19e0db8895b,True,1100,+0200
74,5b035ade61e53b002c2f61cf,True,1100,+0200
75,53760551498e68b83d4e746c,True,0700,1500
76,507ad9a5e4b04c2b97f7a51b,True,0730,+0200
77,4b43f73df964a5203cef25e3,True,1500,+0230
78,510b31d8e4b0af95690b8a71,True,1100,+0200
79,4b4266f8f964a52030d325e3,True,1030,2330
80,4b48a780f964a520ba5126e3,True,0700,2200
81,4b85d1a9f964a520b07431e3,True,0000,+0000
82,4b488c39f964a5201e4f26e3,True,0700,2000
83,4b490fe5f964a520396426e3,True,1700,2300
84,4c54d2c4a724e21ec025fcf6,True,1100,2200
85,4b60e2f7f964a520c9ff29e3,True,0900,2300
86,5099918be4b084fe1d6b05b1,True,1600,+0230
87,4b377606f964a520334125e3,True,1100,+0230
88,4b5a24eff964a5200fb028e3,True,0500,+0100
89,4b49f086f964a5205e7626e3,True,0500,+0100
90,59694c7d1c0b340d4a9903a4,True,1100,+0200
91,551c30ec498edf9af2c49a07,True,1100,+0200
92,59459d974c9be621914b3622,True,1100,+0200
93,4b56886bf964a5203a1428e3,True,0600,2100
94,4b490f76f964a520236426e3,True,1100,+0200
95,4b4a2c79f964a520587d26e3,True,0900,2130
96,4b4a4921f964a5204b8226e3,True,0600,2000
97,5a68993d911fc45bf379b894,True,0600,2000
98,4c288a529eb195210e882959,True,0900,+0230
99,4b450157f964a520fb0026e3,True,1530,+0230
100,4b45012cf964a520f20026e3,True,1200,+0230
101,4ba4566cf964a520ff9638e3,True,1200,+0230
102,4b75de56f964a520bf2a2ee3,True,1600,+0200
103,4b41013ef964a52037bf25e3,True,0700,2300
104,4f5422a7e4b0ee60bad4d8df,True,1600,+0200
105,4cc99720d147a0934701e8ae,True,0800,2300
106,4fca8047e4b0605a490b81ee,True,0900,2300
107,4b65d64df964a5200c032be3,True,0000,+0000
108,55aa6f7f498e613682c45b2f,True,0000,+0000
109,4b43fff5f964a520e5ef25e3,True,0000,+0000
110,4b43c098f964a5208be825e3,True,1130,2300
111,4b784cedf964a52072c32ee3,True,1130,2300
112,551b3c41498e142b44ef7432,True,0800,1600
113,4b58935af964a5201e5f28e3,True,1100,2300
114,4b6e0c93f964a52061a62ce3,True,1100,2300
115,52b0886f498efc2e4cd17869,True,0800,1500
116,4b43ae52f964a5202fe625e3,True,1100,+0100
117,4bc65b04b387d13aabccc1e8,True,1000,+0230
118,4bbe44dd6a93b7139d02ebd2,True,1000,+0230
119,4c6a7a061a6620a1291b668c,True,0000,+0000
120,4b443f7df964a5200af325e3,True,1200,+0230
121,4b618adcf964a52080172ae3,True,0500,+0100
122,4b2c30e7f964a5206cc324e3,True,1200,2300
123,525b0a4c498e437e3f467b41,True,0600,2100
124,4c3fa013d7fad13a07d404da,True,0600,2100
125,4b525fdbf964a520187a27e3,True,0900,+0000
126,4b4a3a80f964a520bb7f26e3,False,,
127,4b437d12f964a5208be125e3,True,1200,2200
128,4b43637ff964a52060df25e3,True,1100,+0200
129,571b82e0498efeaaa68d8917,True,0800,2200
130,5c7b2562a6031c002c68a6c3,True,0800,2200
131,590957029de23b6c0a8c761f,True,1000,1800
132,4b42b57bf964a52007d925e3,True,0800,+0200
133,4b43778bf964a5200ce125e3,True,0000,+0000
134,4fc94581d4f24895b4467e1f,True,0600,2200
135,5d0d43c89250e40023cdca91,True,0600,2200
136,4b47e3bef964a520f24226e3,True,1200,+0230
137,5a6dea8297cf5a7b38b5e293,True,0800,1500
138,5a4e9cc26bd36b1ecb142000,True,0800,1500
139,4bc5e8b3f360ef3b98c3da2d,True,1100,+0100
140,507a2452e4b0ce42c6bdef75,True,1700,2300
141,4b3d1320f964a520588d25e3,True,1100,+0230
142,4b17fd3af964a520f1ca23e3,True,1700,2300
143,4b87e5c1f964a520b7d131e3,True,1730,2200
144,4b44be05f964a520e2fa25e3,False,,
145,5192c468498e36e1e0b8a5c4,False,,
146,4d8201a07252a1cdf3bba45d,True,1100,+0230
147,55f31264498ebc576e3e6bee,True,1100,+0230
148,4b4528c7f964a5209b0626e3,True,1600,+0230
149,5a7a076195da0c68369b705f,True,1600,+0230
150,4b3fe95ff964a520e5b125e3,True,1100,+0000
151,5244c309498efbc894b20926,True,1700,2300
152,560c708e498e541b90075039,True,1700,2300
153,5009af43e4b053e656f5a70a,True,1700,2300
154,506cd290e4b01df5d785fc1a,True,1000,+0100
