,DbCluster,Rating,Likes,Price
0,0,8.4,33,
1,0,8.3,38,3.0
2,0,7.5,25,2.0
3,0,,1,3.0
4,0,,0,2.0
5,1,,1,2.0
6,1,,0,2.0
7,2,8.3,20,2.0
8,2,8.2,82,2.0
9,2,8.7,38,3.0
10,2,8.2,66,2.0
11,2,7.9,8,
12,2,7.7,9,3.0
13,2,8.2,11,1.0
14,2,7.8,30,2.0
15,2,7.3,19,1.0
16,2,6.6,23,2.0
17,2,5.9,16,1.0
18,2,,0,2.0
19,2,,0,2.0
20,2,,1,2.0
21,2,,5,1.0
22,3,,1,1.0
23,3,,1,2.0
24,3,,0,2.0
25,3,,0,2.0
26,3,,0,2.0
27,3,,0,2.0
28,3,,1,2.0
29,4,,2,2.0
30,4,,0,2.0
31,4,,0,2.0
32,1,9.3,304,2.0
33,1,7.6,8,2.0
34,1,5.6,5,2.0
35,1,,4,3.0
36,1,,6,
37,1,,3,3.0
38,1,8.2,39,2.0
39,1,8.4,140,1.0
40,1,7.6,22,2.0
41,1,8.3,11,2.0
42,1,7.9,66,1.0
43,1,7.8,14,2.0
44,1,7.9,20,3.0
45,5,7.2,8,2.0
46,1,6.9,10,1.0
47,6,9.1,132,1.0
48,6,7.0,29,2.0
49,6,6.6,6,1.0
50,6,5.7,8,2.0
51,6,,2,2.0
52,6,,1,2.0
53,5,,0,3.0
54,5,,0,2.0
55,5,,0,3.0
56,7,8.2,45,2.0
57,7,8.0,40,1.0
58,7,7.8,7,1.0
59,7,6.6,0,3.0
60,7,7.4,51,2.0
61,7,6.4,68,2.0
62,7,7.0,14,1.0
63,7,6.8,35,1.0
64,8,8.6,110,2.0
65,8,7.1,19,2.0
66,8,,0,1.0
67,8,,2,2.0
68,8,,1,1.0
69,8,,0,2.0
70,9,8.5,21,2.0
71,9,8.3,23,2.0
72,9,,1,2.0
73,9,,0,2.0
74,5,8.4,33,1.0
75,5,7.6,6,2.0
76,5,8.1,27,2.0
77,5,6.7,53,2.0
78,5,6.4,33,1.0
79,4,,0,2.0
80,4,,0,2.0
81,4,,1,2.0
82,5,8.3,70,1.0
83,5,7.6,45,2.0
84,5,7.9,40,1.0
85,5,7.0,8,1.0
86,5,6.9,17,3.0
87,5,7.1,26,1.0
88,5,5.8,17,2.0
89,5,,2,1.0
90,5,,2,2.0
91,5,5.3,3,2.0
92,1,8.7,15,3.0
93,1,8.2,12,3.0
94,1,8.7,139,2.0
95,1,7.8,186,2.0
96,1,8.5,90,1.0
97,1,8.0,16,3.0
98,1,7.9,41,2.0
99,1,7.7,200,2.0
100,1,7.6,73,2.0
101,1,7.8,59,2.0
102,1,7.5,7,2.0
103,1,7.8,7,2.0
104,1,7.7,12,2.0
105,1,7.8,10,1.0
