,VenueId,DayOf,Start,End
5,4fea02ede5e8dfeeb65b5000,True,1100.0,2300.0
7,4b4f3d05f964a52060fe26e3,True,500.0,100.0
13,4b7c72d2f964a5200c942fe3,True,1100.0,1400.0
16,548a3ae3498e96c3ac6dbf16,True,1100.0,0.0
24,537f99ee498e2e6e70de2c35,True,1100.0,2000.0
26,4b92ff3af964a520842d34e3,True,1700.0,2300.0
28,4b7d68a2f964a520cdbc2fe3,False,,
36,591f54428c35dc7af6b90438,True,1100.0,0.0
48,4b3d6548f964a520939325e3,True,500.0,100.0
50,4b7dbb16f964a5201ad12fe3,True,500.0,100.0
52,526171ac11d2bd1db179ae60,True,900.0,2300.0
59,4b8f362af964a520f14d33e3,True,500.0,2100.0
60,4b9e9d46f964a520f4f336e3,True,500.0,100.0
63,4b474878f964a520192e26e3,True,800.0,1600.0
64,4be96bb6c5220f47c7cbaaca,True,100.0,100.0
65,4b4f5355f964a520680127e3,True,1100.0,2200.0
78,510b31d8e4b0af95690b8a71,True,1100.0,200.0
82,4b490fe5f964a520396426e3,True,1700.0,2300.0
87,4b5a24eff964a5200fb028e3,True,500.0,100.0
110,4b6e0c93f964a52061a62ce3,True,1100.0,2300.0
112,4b43ae52f964a5202fe625e3,True,1100.0,100.0
113,4bc65b04b387d13aabccc1e8,True,1000.0,230.0
114,4bbe44dd6a93b7139d02ebd2,True,1000.0,230.0
116,4b618adcf964a52080172ae3,True,500.0,100.0
117,4b2c30e7f964a5206cc324e3,True,1200.0,2300.0
118,525b0a4c498e437e3f467b41,True,600.0,2100.0
119,4c3fa013d7fad13a07d404da,True,600.0,2100.0
122,4b437d12f964a5208be125e3,True,1200.0,2200.0
125,5c7b2562a6031c002c68a6c3,True,800.0,2200.0
129,5d0d43c89250e40023cdca91,True,600.0,2200.0
133,4bc5e8b3f360ef3b98c3da2d,True,1100.0,100.0
134,507a2452e4b0ce42c6bdef75,True,1700.0,2300.0
136,4b17fd3af964a520f1ca23e3,True,1700.0,2300.0
147,5009af43e4b053e656f5a70a,True,1700.0,2300.0
153,580e4ca138fae4e1a94df114,True,1000.0,230.0
155,5148ee61e4b0ff29e13e5408,True,1000.0,230.0
158,4b744dfcf964a520e8d32de3,True,1100.0,100.0
159,4daafc0b8154abafc2b84756,True,1100.0,100.0
160,4ba6b66ff964a520d16a39e3,True,1100.0,100.0
161,4bee35132c082d7fe0363042,True,1100.0,100.0
168,4b58744df964a5208c5828e3,True,1700.0,2300.0
169,4c22aa8d11de20a1c04c85ce,True,1100.0,2300.0
170,4b676140f964a520654b2be3,True,500.0,2100.0
176,4c0c382c009a0f472b5cecbf,True,1600.0,200.0
177,51152771fe70d52f3b5df277,True,1700.0,2300.0
181,55d24d59498e3816103ce0fc,True,1200.0,2300.0
183,4b5b850af964a520450429e3,True,630.0,2300.0
184,501bff08e4b050c6faa97048,True,1100.0,2300.0
185,4bc6acb6d35d9c747a22e33a,True,1100.0,230.0
186,4ce020e8825e721ee59d7445,True,1100.0,230.0
187,4d3a5c4c34ee3704f909779b,True,1100.0,230.0
